Category,Accuracy,Precision,Recall,F1-score,IoU
Alligator,0.4720507812484634,0.17775603988329933,0.9999803745796099,0.3017229765085683,0.17775545452558725
Crossing,0.6781529017835067,0.2593862556154058,0.9995019059525944,0.4083252601495147,0.25934603813453355
Edge Crack,0.4229699337107444,0.09137005211737138,0.9999198956910327,0.1665845133975645,0.09136941481536588
Pothole,0.5226580584473727,0.180427625370768,0.9999096339098329,0.30117424168389423,0.18042465351602546
